"ObservationDate","Country/Region","Confirmed","Deaths","Recovered","Date","Low","Open","High","Close","Adjusted Close"
"01/29/2020","US","1","0","0","29-01-2020","87.1500015258789","87.55000305175781","88.36000061035156","87.23999786376953","86.18576049804688"
"01/30/2020","US","1","0","0","30-01-2020","83.5999984741211","84.9000015258789","85.02999877929688","84.37999725341797","83.36032104492188"
"02/03/2020","US","2","0","0","03-02-2020","82.11000061035156","83.29000091552734","83.69000244140625","82.1500015258789","81.15727996826172"
"02/04/2020","US","2","0","0","04-02-2020","82.77999877929688","82.8499984741211","83.9000015258789","83.5199966430664","82.5107192993164"
"02/06/2020","US","2","0","0","06-02-2020","84.58000183105469","85.30999755859375","85.38999938964844","84.81999969482422","83.79501342773438"
"02/09/2020","US","2","0","0","02-09-2020","100.45999908447266","101","103.66000366210938","103.41999816894531","102.64534759521484"
"02/09/2020","US","1","0","0","02-09-2020","100.45999908447266","101","103.66000366210938","103.41999816894531","102.64534759521484"
"02/11/2020","US","1","0","0","11-02-2020","84.83999633789062","85.02999877929688","85.66999816894531","85.08999633789062","84.06175231933594"
"02/12/2020","US","1","0","1","12-02-2020","85.29000091552734","85.4000015258789","86.05999755859375","85.43000030517578","84.39765167236328"
"02/18/2020","US","1","0","0","18-02-2020","84.52999877929688","85.66000366210938","86.08000183105469","84.79000091552734","83.76538848876953"
"02/19/2020","US","2","0","2","19-02-2020","83.44999694824219","84.69999694824219","85.83999633789062","85.3499984741211","84.318603515625"
"02/21/2020","US","1","0","1","21-02-2020","83.4000015258789","83.9000015258789","85.08999633789062","85.06999969482422","84.0419921875"
"02/24/2020","US","36","0","0","24-02-2020","80.0199966430664","82.22000122070312","82.58999633789062","80.5","79.5272216796875"
"02/25/2020","US","36","0","0","25-02-2020","77.69000244140625","80.69999694824219","80.87999725341797","77.94999694824219","77.00804138183594"
"02/25/2020","US","2","0","1","25-02-2020","77.69000244140625","80.69999694824219","80.87999725341797","77.94999694824219","77.00804138183594"
"02/26/2020","US","1","0","0","26-02-2020","78.08999633789062","78.66000366210938","80.2699966430664","78.11000061035156","77.16609954833984"
"02/27/2020","US","42","0","0","27-02-2020","76.37000274658203","76.68000030517578","80.30000305175781","77.43000030517578","76.49430847167969"
"03/01/2020","US","1","0","1","03-01-2020","84.5","84.66999816894531","85.33000183105469","84.56999969482422","83.54802703857422"
"03/02/2020","US","45","0","0","03-02-2020","82.11000061035156","83.29000091552734","83.69000244140625","82.1500015258789","81.15727996826172"
"03/02/2020","US","0","0","0","03-02-2020","82.11000061035156","83.29000091552734","83.69000244140625","82.1500015258789","81.15727996826172"
"03/03/2020","US","45","0","0","03-03-2020","79.27999877929688","81.88999938964844","85","80.31999969482422","79.34939575195312"
"03/03/2020","US","11","0","1","03-03-2020","79.27999877929688","81.88999938964844","85","80.31999969482422","79.34939575195312"
"03/03/2020","US","2","0","1","03-03-2020","79.27999877929688","81.88999938964844","85","80.31999969482422","79.34939575195312"
"03/03/2020","US","1","0","0","03-03-2020","79.27999877929688","81.88999938964844","85","80.31999969482422","79.34939575195312"
"03/04/2020","US","8","1","0","04-03-2020","80.72000122070312","81.7699966430664","84.43000030517578","84.3499984741211","83.3306884765625"
"03/04/2020","US","3","0","0","04-03-2020","80.72000122070312","81.7699966430664","84.43000030517578","84.3499984741211","83.3306884765625"
"03/04/2020","US","1","0","0","04-03-2020","80.72000122070312","81.7699966430664","84.43000030517578","84.3499984741211","83.3306884765625"
"03/04/2020","US","1","0","1","04-03-2020","80.72000122070312","81.7699966430664","84.43000030517578","84.3499984741211","83.3306884765625"
"03/04/2020","US","0","0","0","04-03-2020","80.72000122070312","81.7699966430664","84.43000030517578","84.3499984741211","83.3306884765625"
